Francais,Malagasy,Anglais
diligence,fahazotoana,"diligence,zeal"
diligence (une),zoto,"diligence (a),zeal (a)"
embarras,fahasahiranana,"embarrassment,lack,perplexity"
embarrassé,fahaporetana,"distress,oppression"
emportement,"efokefoka,fiafonafonana,fiafonafona","conceit,haughtiness,pride,vanity"
ému,onena,"dejected,low-spirited,sorry (to feel)"
encouragement,"famporisihana,risika","encouragement,zeal"
endurance,aritra,"continuance,endurance,forbearance,patience"
enivrer,mankaleo,"aversion (to cause),disgust (to),intoxicate (to)"
ennui,"dikidiky,diky,fahasorisorenana","annoyance,perplexity,vexation"
ennui (un),sory,"miserable,poor"
envie,"alona,faniriana","desire,envy,jealousy,wish"
envier,mialona,"envy (to),jealous of (to be)"
épargner,mandala,"affection,attentive"
erreur (une),hadisoana,"criminality (a),deficiency (a),error (an),failure (a),guilt (a),mistake (a)"
espérance (une),fanantenana,"expectation (an),hope (a)"
espérer,manantena,"expect (to),hope (to)"
espoir (un),fanantenana,"expectation (an),hope (a)"
fâché,tezitra,angry
faiblesse,fahosana,"cowardice,weakness"
fantaisie,angola,"desire,fancies,fancy"
faute (une),hadisoana,"criminality (a),deficiency (a),error (an),failure (a),guilt (a),mistake (a)"
félicité,hasambarana,"blessedness,happiness"
férocité (une),siaka,"fierceness (a),violence (a)"
fierté,efokefoka,"conceit,haughtiness,pride,vanity"
fierté,rehareha,"boasting,pride"
fierté (une),"fidangadangana,setrasetra","haughtiness (a),pride (a)"
force (une),tabiha,"equipage (an),glory (a),honor (an),pomp (a),splendour (a),state (a)"
frayeur (une),"fahatahorana,tahotra","fear (a),fearful attitude (a),terror (a)"
fureur,"afonafona,fiafonafonana,fiafonafona,samontitra,samontotra","fury,impetuosity,rage,violence"
fureur (une),"efonefona,faharomotana,fofofofo",anger (an)
furie,"afokafoka,afonafona,safoaka","anger,fury,impetuosity,rage,violence"
garde,fiandrasana,"expectation,waiting"
gémissement,kaonkaona,"complaint,cry"
gloire (une),tabiha,"equipage (an),glory (a),honor (an),pomp (a),splendour (a),state (a)"
goût piquant (un),siaka,"fierceness (a),violence (a)"
haine,fankahalana,hatred
haïr,"mandrafy,mankahala","abhor (to),hate (to),jealous (to be),rival (to)"
haïr mutuellement (se),mifankahala,hate one another (to)
hardiesse (une),setrasetra,"haughtiness (a),pride (a)"
hauteur,"avonavona,rehareha","boasting,haughtiness,pride"
hauteur (une),"fiavonavonana,fidangadangana,setrasetra,setra","arrogance (an),haughtiness (a),pride (a)"
hésitations,ahanahana,"doubt,hesitation,indecision,pause"
honneur,asy,"respect,veneration"
honneur (l'),haja,"honor (the),honour (the),regard (the),respect (the),reverence (the)"
honneur (un),tabiha,"equipage (an),glory (a),honor (an),pomp (a),splendour (a),state (a)"
honte,"kemaka,resin-kenatra","bashfulness,shame"
honte (une),"henamaso,henatra","awe (an),bashfulness (s),disgrace (s),respect (a),shamefacedness (s),shame (s)"
humeur,fahasosorana,"annoyance,vexation"
humiliation,"fanapepoana,fanetrena","abasing,humiliating"
humiliation (une),henatra,"bashfulness (s),disgrace (s),shamefacedness (s),shame (s)"
humilité (une),fanetren-tena,humility (an)
impatience,haoka,"craving,desire,eagerness,longing"
impatient,liana,"desiring,impatient"
impressionné,onena,"dejected,low-spirited,sorry (to feel)"
incitement encouragement,fampirisihana,"encouragement,zeal"
incitement,famporisihana,"encouragement,zeal"
indifférence,fahalainana,"laziness,unwillingness"
indifférent,baranahiny,"careless,heedlessness,indifference"
injure (une),latsa,"insult (an),reproach (a),upbraiding (an)"
injurier,mandatsa,"insult (to),reproach (to),upbraid (to)"
inquiétude,"fanahiana,fiahiahiana,manahy,tebiteby","anxiety,apprehension,care,concerned,concern,disturb,fear,have suspicions,perturb,trembling,worry"
inquiétude (une),"ahiahy,ahy","anxiety (an),attention (an),care (a),inquietude (an),solicitude (a)"
insolence,darondarona,"anger,insolence"
insouciant,baranahiny,"careless,heedlessness,indifference"
insulter avec colère,midarondarona,"insult in anger (to),vex in anger (to)"
insulter,mandatsa,"insult (to),reproach (to),upbraid (to)"
intention,finiavana,"intent,purpose"
intention (une),fo,"desire (a),disposition (a),heart (a),intention (an),sentiment (a),will (a)"
jalouser,mandrafy,"hate (to),jealous (to be),rival (to)"
jalousie,"alona,farahy","envy,jealousy"
jalousie (une),fialonana,jealousy (a)
jaloux de (être),mialona,"envy (to),jealous of (to be)"
jaloux,saro-piaro,jealous
joie,fahafinaretana,"happiness,pleasure"
lâcheté,"fahosana,hakanosana","cowardice,weakness"
lenteur,"adana,fiadana","composure,happiness,peaceful,peace,prosperity,prudent,slowness,slow,tranquility,tranquil"
lenteur (une),fiadanana,"composure (a),happiness (an),peace (a),prosperity (a),slowness (a),tranquility (a),tranquillity (a)"
malheur,fahoriana,"calamity,distress,suffering,trouble"
malheur (un),zo,"afflicted (to be),suffer (to)"
méchanceté (une),siaka,"fierceness (a),violence (a)"
mélancolique,manjoretra,"melancholy,silent,thoughtful"
mépriser,maneso,"mock (to),scorn (to)"
mépris,"adonadona,eso,rehareha","boasting,contemptuousness,haughtiness,mockery,pride,scorn"
misérable (rendre),mampahory,"afflict (to),distress (to),miserable (to make)"
miséricorde (une),indrafo,"clemency (a),compassion (a),mercy (a),pity (a),tenderness (a)"
moquer de (se),"mamazivazy,maneso","mock (to),scorn (to),tease (to),torment (to)"
moquerie,eso,"mockery,scorn"
morne,"joretra,manjoretra","melancholy,silent,thoughtful"
occuper,manahy,"care,concerned,disturb,have suspicions,perturb,worry"
opposition (une),setra,"haughtiness (a),pride (a)"
orgueil,"adonadona,avonavona,fiboha,rehareha","boasting,contemptuousness,haughtiness,pride"
orgueil (un),"efonefona,fiavonavonana,setrasetra,setra","arrogance (an),haughtiness (a),pride (a)"
ostentation,"etaketaka,rehareha","boasting,pride"
paisible,fiadana,"composure,happiness,prosperity,slowness,tranquility"
paix,adana,"happiness,peaceful,peace,prudent,slowness,slow,tranquil"
paix (une),fiadanana,"composure (a),happiness (an),peace (a),prosperity (a),slowness (a),tranquility (a),tranquillity (a)"
pardon (demande de),bebaka,"confession,forgiveness (imploring),repentance"
paresse,fahalainana,"laziness,unwillingness"
passion (une),"fahababoam-po,filan-dratsy",lust (a carnal)
patience,"aritra,fandeferana,fihafiana","continuance,endurance,forbearance,patience"
patience (une),faharetana,"endurance (an),patience (a)"
pauses fréquentes,ahanahana,"doubt,hesitation,indecision,pause"
pauvreté,fahoriana,"calamity,distress,suffering,trouble"
peine,tse-po,sighing
pénitence (une),fivalozana,"regret (a),repentance (a)"
perdre (action de),famoizana,"abandonment (an),rejection (a),renunciation (a)"
persévérance,aritra,"continuance,endurance,forbearance,patience"
persévérance (une),faharetana,"endurance (an),patience (a)"
persistance,lofo,persistence
peur (une),tahotra,"fear (a),terror (a)"
pitié (avoir),"mamindra fo,onena","commiserate (to),compassionate (to),dejected,low-spirited,mercy (to have),pity (to have),sorry (to feel)"
pitié (une),indrafo,"clemency (a),compassion (a),mercy (a),pity (a),tenderness (a)"
plaisanterie (dit par),kivalavala,"disrespect (showing),jest (said in)"
plaisanter,mamazivazy,"mock (to),tease (to),torment (to)"
plaisir,"fahafinaretana,fifaliana","happiness,pleasure,rejoicing"
plaisir (un bon),danin' ny kibo,"desire (one's),pleasure (one's),will (one's)"
point d'honneur,hambom-po,"pride,self-esteem"
pressé,fahaporetana,"distress,oppression"
prétention,"hakohako,hako","elation,hauteur,magisterialness"
prospérité,adana,"happiness,peaceful,peace,prudent,slowness,slow,tranquil"
prospérité (une),fiadanana,"composure (a),happiness (an),peace (a),prosperity (a),slowness (a),tranquility (a),tranquillity (a)"
raillerie,eso,"mockery,scorn"
rancune,"fo lentika,kifompo,lolompo","malice,malignity,spite"
recherche,"hakohako,hako","elation,hauteur,magisterialness"
recherche (une),filana,"desire (a),lust (a),necessity (a),need (a),want (a),wish (a)"
refus,fandavana,"denial,disapproval,refusal"
regret,"falahelo,fanenenana,fibebahana,hanina,nenina,rembona","affection,confession,contrition,desire,grief,longing,regret,remorse,repentance"
regretter,"mahamanina,manina","long for (to),longing,long,regret (to)"
regret (un),embona,sigh (a)
réjouir,fifaliana,"happiness,rejoicing"
remords (avoir des),manenina,"grieve at (to),lament (to),regret (to),repent (to),rue (to)"
remords,"fanenenana,nenina","contrition,grief,regret,remorse,repentance"
reniement,fandavana,"denial,disapproval,refusal"
renommée,da,"celebrity,happiness,renown,success"
renoncement,fandavana,"denial,disapproval,refusal"
renoncement (un),famoizana,"abandonment (an),rejection (a),renunciation (a)"
renoncer (action de),famoizana,"abandonment (an),rejection (a),renunciation (a)"
repentir,"bebaka,fibebahana","confession,contrition,forgiveness (imploring),repentance"
repentir (se),manenina,"grieve at (to),lament (to),regret (to),repent (to),rue (to)"
repentir (un),fivalozana,"regret (a),repentance (a)"
reproche (un),latsa,"insult (an),reproach (a),upbraiding (an)"
résistance (une),faharetana,"endurance (an),patience (a)"
résistance (une),setra,"haughtiness (a),pride (a)"
respect (le),haja,"honor (the),honour (the),regard (the),respect (the),reverence (the)"
respect,asy,"respect,veneration"
respectueux (peu),kivalavala,"disrespect (showing),jest (said in)"
ressentiment,otri-po,"malice,malignity"
retard,fiadana,"composure,happiness,prosperity,slowness,tranquility"
rival de (être),mandrafy,"hate (to),jealous (to be),rival (to)"
rudesse (une),siaka,"fierceness (a),violence (a)"
sauvagerie,habibiana,"brutality,cruelty"
sauvagerie (une),siaka,"fierceness (a),violence (a)"
secourir (action de),fiantrana,"alms-deeds,alms,charitableness,compassion (a),pity (a)"
secours (un),fiantrana,"alms-deeds,alms,charitableness,compassion (a),pity (a)"
serré,fahaporetana,"distress,oppression"
sévérité (une),siaka,"fierceness (a),violence (a)"
silencieux,"joretra,manjoretra","melancholy,silent,thoughtful"
soigner,mandala,"affection,attentive"
soin (un),ahy,"anxiety (an),attention (an),care (a),inquietude (an),solicitude (a)"
sollicitude (une),ahy,"anxiety (an),attention (an),care (a),inquietude (an),solicitude (a)"
souci,fanahiana,"anxiety,worry"
souci (un),ahy,"anxiety (an),attention (an),care (a),inquietude (an),solicitude (a)"
souffrance,"fahoriana,fijaliana,miferinaina","calamity,distress,grieve,groan,sigh,suffering,trouble,uncomfortable,unhappy"
souffrance (une),ferinaina,"grief (a),groaning (a),sighing (a)"
souffre (qui),zo,"afflicted (to be),suffer (to)"
souffrir (faire),mampahory,"afflict (to),distress (to),miserable (to make)"
souffrir,"mahory,miferinaina","afflict,distress,grieve,groan,miserable,sigh,suffering,uncomfortable,unhappy"
souhait,faniriana,"desire,wish"
soumission,fiaikena,"admission,confession,submission"
soupçonneux,saro-piaro,jealous
soupçon,"farahy,fiahiahiana","concern,worry"
soupçon (un),"ahiahy,ahy","anxiety (an),attention (an),care (a),inquietude (an),solicitude (a)"
soupirer,manina,"long for (to),regret (to)"
soupir (un),embona,sigh (a)
superbe,mahafinaritra,"beautiful,delight,enjoyable,fine,gratify,please"
support,aritra,"continuance,endurance,forbearance,patience"
surprise,fahatairana,"alarm,excitement,surprise"
terreur (une),tahotra,"fear (a),terror (a)"
timide,resin-kenatra,"bashfulness,shame"
timidité,haingihaingy,"ashamed,confused"
tracas,fahasahiranana,"embarrassment,lack,perplexity"
tranquillité,adana,"happiness,peaceful,peace,prudent,slowness,slow,tranquil"
tranquillité (une),fiadanana,"composure (a),happiness (an),peace (a),prosperity (a),slowness (a),tranquility (a),tranquillity (a)"
tristesse (une),alahelo,"affliction (an),dejection (a),depression (a),grief (a),melancholy (a),penury (a),poverty (a),sorrow (a)"
trouble,tebiteby,"apprehension,fear,trembling"
vanité,rehareha,"boasting,pride"
vantardise,"fiboha,rehareha","boasting,pride"
vénération (la),haja,"honor (the),honour (the),regard (the),respect (the),reverence (the)"
vénération,asy,"respect,veneration"
vengeance,otri-po,"malice,malignity"
vexation (une),sory,"miserable,poor"
vexation,"fahasorisorenana,fahasosorana,sorisory","annoyance,perplexity,vexation"
vexer,mahadikidiky,"annoy (to),disgust (to),vex (to),worry (to)"
vexé,"malonilony,malony",vexed
vigueur,herim-po,courage
violence (une),siaka,"fierceness (a),violence (a)"
volonté (une),fo,"desire (a),disposition (a),heart (a),intention (an),sentiment (a),will (a)"
volonté,sitrapo,"desire,will"
vouloir,tia,"like (to),love (to)"
zèle (un),zoto,"diligence (a),zeal (a)"
zèle,"fahazotoana,risika,zotom-po","diligence,encouragement,zeal"
espace,toerana,space
aisselles (jusqu'aux),hahelika,armpits (up to the)
antérieur,aloha,"ahead,before,first,previously,previous"
auparavant,aloha,"ahead,before,first,previously,previous"
avant,aloha,"ahead,before,first,previously,previous"
bas,ambany,"below,beneath,down,under"
bientôt,ato,"here,recently,soon"
brasse,"fahafolo,refy","fathom,measure,ten"
brasse (une demi-),mamakitratra,yard (a)
ceinture (jusqu' à la),"havalahana,havaniana","loins (up to the),waist-deep"
cent brasses,fahazato,hundred fathoms
centilitre (un),santilitatra,centiliter (a)
centimètre (un),santimetatra,centimeter (a)
centre (au),"afovoany,ampovoany,anivo","amidst,center of (in the),middle of (in the),midst of (in the)"
centre (le),ampovoany,"amidst,center of (in the),middle of (in the),midst of (in the)"
cheville (une),hakitrokely,ankle (an)
cinq brasses,fahadimy,five fathoms
cinq brasses (moitié de),sasapahadimy,five fathoms (half of)
cote,refy,"fathom,measure"
coudée (une),hakiho,cubit (a)
cou (jusqu' au),havozona,neck (up to the)
cuisse (jusqu' au haut de la),hafotope,"hip deep,hip high,thighs (up to the)"
dans,anaty,inside
dedans (au),anaty,inside
dedans (le),aty,"inside (the),room (a)"
demi-pied,tapa-dia,half-foot
devant (au),aloha,"ahead,before,first,previously,previous"
devant,aloha,"ahead,before,first,previously,previous"
dimension,"fahalehibiazana,refy","dimension,fathom,greatness,measure,size"
dix,fahafolo,ten
droite (à),ankavanana,right (to the)
empan (un),"ampiravahana,irainjehy,zehy",span (a)
est (au-delà vers l'),andafiatsinanana,east (across on the other side to the)
est,"ambony,ampisoronana,antiñanana",east
est (l'),atsinanana,east (the)
estomac (jusqu' au creux de l'),havavafo,stomach (up to the pit of the)
fesses (jusqu' aux),hafotope,"hip deep,hip high,thighs (up to the)"
front (jusqu' au),hahandrina,forehead (up to the)
gauche (à),ankavia,left (to the)
gorge (jusqu' à la),hatenda,neck (up to the)
grandeur,fahalehibiazana,"dimension,greatness,size"
hanches (jusqu' aux),hafotope,"hip deep,hip high,thighs (up to the)"
hauteur (une),jalajala,height (a)
huit brasses,fahavalo,eight yards
ici,ato,"here,recently,soon"
imminent,antomotra,"close at hand,near at hand"
inclus,anaty,inside
intérieur (l'),aty,"inside (the),room (a)"
kilomètre,"kilaometatra,kilômetatra",kilometer
là-bas,arỳ,"there far away,yonder"
là,arỳ,"there far away,yonder"
largeur,"ampohy,indrabeny,lambanana",width
largeur (une),"sakany,saka",width (a)
loin pas visible,arỳ,"there far away,yonder"
long,lava,long
longueur,"habosana,halavana,halavany",length
menton (jusqu' au),hasaoka,chin (up to the)
mesure,refy,"fathom,measure"
mètre,metatra,"meter,metre"
milieu (au),"afovoany,ampovoany","amidst,center of (in the),middle of (in the),midst of (in the)"
milieu (le),ampovoany,"amidst,center of (in the),middle of (in the),midst of (in the)"
milieu,"anivony,matona",middle
mollet (jusqu'au mollet),haranjo,calf (up to the)
nord (aller vers le),mianavaratra,"north (to go to the),northwards (to go)"
nord (au-delà vers le),andafiavaratra,north (across on the other side to the)
nord (le),avaratra,north (the)
ouest (aller vers l'),miankandrefana,"west (to go to the),westwards (to go)"
ouest (au-delà vers l),andafiandrefana,west (across on the other side to the)
ouest (l'),andrefana,west (the)
ouest,"ambany,anjefa",west
parmi,anaty,inside
plante des pieds (jusqu'à la),hafaladia,"shallow,sole of the foot (up to the)"
poitrine (jusqu' à la),hatratra,chest (up to the)
portée d'une pierre (à la),indray mitoraka,once
pouce (un),posy,inch (an)
proche,antomotra,"close at hand,near at hand"
quatre brasses,fahefatra,four fathoms
quelque part,any ho any,somewhere
reins (jusqu' aux),"havalahana,havaniana","loins (up to the),waist-deep"
sein (jusqu'au),hanono,nipple (up to the)
sept brasses,fahafito,seven fathoms
sous,ambany,"below,beneath,down,under"
sud (aller vers le),mianatsimo,"south (to go to the),southward (to go)"
sud (au-delà vers le),andafiatsimo,south (across on the other side to the)
sud (le),atsimo,south (the)
sud,"ambalaka,ampimbana,antimo",south
ventre (jusqu'au),hakibo,belly (as deep as the)
vers le nord,no ho mianavaratra,northward
vers l'est,no ho miantsinanana,eastward
vers le sud,no ho mianatsimo,southward
vers l'ouest,no ho miankandrefana,westward
yard (un),mamakitratra,yard (a)
etiquette,teny fanajana,forms of address
aîné,razoky,"brother,sister"
aînée,razoky,"brother,sister"
cadet,razandry,"brother,sister"
cadette,razandry,"brother,sister"
défunte (la),"itompokovavy,ratompokovavy",late (the)
défunt (le),"itompokolahy,ratompokolahy",late (the)
félicitation,arahaba,"congratulations,greeting"
feue,"itompokovavy,ratompokovavy",late (the)
feu,"itompokolahy,ratompokolahy",late (the)
frère,"razandry,razoky","brother,sister"
frère (un),ranadahy,brother (a)
maman,ineny,mother
mère,ineny,mother
mlle,rtoa,"mrs.,ms."
mme,rtoa,"mrs.,ms."
m.,"atoa,ing",mr.
monsieur,"andriamatoa,ingahy","mister,sir"
monsieur,"mose,ramose,rangahy","man (old),mister"
monsieur,tompokolahy,sir
passer (prière de me laisser),mbay lalana,pass (please let me)
passer (veuillez me permettre de),mbay lalana,pass (please let me)
père,"idada,ikaky",father
place d'honneur (la),avara-patana,place of honor (the)
regrettée (la),"itompokovavy,ratompokovavy",late (the)
regretté (le),"itompokolahy,ratompokolahy",late (the)
salutation,arahaba,"congratulations,greeting"
salut,arahaba,"congratulations,greeting"
soeur,"razandry,razoky","brother,sister"
soeur (une),ranabavy,sister (a)
vieillard,rangahy,man (old)
vieille,rafotsy,elderly
vivez longtemps,trarantitra,live long
géographie,haitoetany,geography
géographie:agglomérations,haitoetany:tanàna,geography:towns
alexandrie,aleksandria,alexandria
géographie:côtes,haitoetany:tsiraka,geography:coasts
géographie:(en général),haitoetany:(amin' ny ankapobeny),geography:(in general)
abîme (un),tevana,"abyss (an),precipice (a)"
alluvion,"angon-dilatra,bedana,hetro",alluvium
amont,"anadrea,anira,irà",upstream
artésien (un puits),vovo ranogeja,artesian well (an)
automne,fararano,"autumn,fall,harvest"
aval (en),anava,downstream
banlieue,ambanivolo,country
banlieue (une),zanabohitra,suburb (a)
bassin,kamory,"pond,reservoir"
bloc,bonga,"clod,eminence,hill"
boue,antsanga,mud
bourbeux (un terrain),heniheny,swamp (a)
brousse (une),ambanivohitra,"country people,country (the)"
butte,bonga,"clod,eminence,hill"
campagnard (un),ambanivohitra,"country people,country (the)"
campagne,ambanivolo,country
campagne (une),"ambanivohitra,saha","country (a),country people,country (the),field (a),garden (a),orchard (an),valley (a)"
capitale (une),renivohitra,capital (a)
cap (un),tanjona,"cape (a),peninsula (a)"
carte (une),sarintany,map (a)
cascade (une),riana,"rapids,waterfall (a)"
caverne (une),lavaka,"cave (a),den (a),hole (a),pit (a)"
champ,baibo,"field,land (fertile)"
champ (un),saha,"country (a),field (a),garden (a),orchard (an),valley (a)"
citadins (les),ambonivohitra,town dwellers
col,"hadilanana,vozontany","dale,dell,dingle,isthmus"
colline,"kiboritany,monto,vohitra,vohitry","hill,village"
colline (une),"tanety,tendrombohitra","mountain (a),summit (a)"
confluent,"lovoke,vinanindrano,vinany","confluence,estuary"
continent,"kôntinanta,tanibe",continent
crue (une),tondra-drano,flood (a)
défilé,bangoa,"defile,valley"
défilé,hadilanana,"dale,dell,dingle,isthmus"
dôme,bonga,"clod,eminence,hill"
élévation,vohitra,"hill,village"
embouchure,"vinanin-dranomasina,vinany","confluence,estuary"
embouchure (une),vavarano,estuary (an)
équateur,"ekoatera,fehibe",equator
espace dénudé dans la forêt,fatrana,space in the forest (open)
estuaire,"vinanin-dranomasina,vinanindrano,vinany","confluence,estuary"
estuaire (un),vavarano,estuary (an)
étang,"kamory,matsabory","pond,reservoir"
étang,farihy,"lake,pond,pool"
été (un),fahavaratra,summer (a)
fleuve (un),ony,river (a)
fosse (une),lavaka,"cave (a),den (a),hole (a),pit (a)"
fossé (un),tevana,"abyss (an),precipice (a)"
géographie,jeografia,geography
hameau,vohitra,"hill,village"
hameau (un),tanàna,"city (a),town (a)"
hémisphère (un),ila bolantany,hemisphere (an)
hiver,"asotsy,ririnina",winter
horizon,faravodilanitra,horizon
île (une),"nosy,tokonosy",island (an)
inondation (une),tondra-drano,flood (a)
jardin (un),saha,"country (a),field (a),garden (a),orchard (an),valley (a)"
jungle,ala mikitroka,jungle
lac,"farihy,kamory","lake,pond,pool,reservoir"
latérite,"nofon-tany,tany","country (a),earth (an),land (a),nation (a),soil (a),topsoil"
limon,"betro,dilatra","alluvium,sediment,silt"
longitude,"laharan-jarahasina,lavam-pehintany",longitude
marais (un),"heniheny,hetrina,horaka,zehitra,zetra","ricefield (a),swamp (a)"
marécage (un),"hetrina,honahona",swamp (a)
marécage (un),"heniheny,horaka,zetra","ricefield (a),swamp (a)"
masse,bonga,"clod,eminence,hill"
mer (la),"alaotra,ranomasina",sea (the)
moisson,fararano,"autumn,fall,harvest"
montagne,"bonga,vohitra,vohitry","clod,eminence,hill,village"
montagne (une),tendrombohitra,"mountain (a),summit (a)"
nation (une),tany,"country (a),earth (an),land (a),nation (a),soil (a)"
océan,oseana,ocean
océan,"bambandrano,ranomasimbe",ocean
océan (un),"bambandranobe,bambandranomasina",ocean (an)
oued (un),ony,river (a)
parallèle,"fehintany,laharam-pehintany,zana-pehintany","parallel,tropic"
pays (un),tany,"country (a),earth (an),land (a),nation (a),soil (a)"
péninsule (une),tanjona,"cape (a),peninsula (a)"
plaine,"banjana,tany lemaka",plain
plaine (une),"banja,lemaka,tany","country (a),earth (an),flat land,land (a),nation (a),plain (a),soil (a)"
plateau,"bonga,dongolava,lembalemba","clod,eminence,hill"
plat (un terrain),lemaka,"flat land,plain (a)"
précipice (un),"fampana,tevana","abyss (an),precipice (a)"
presqu'île (une),tanjona,"cape (a),peninsula (a)"
printemps (un),lohataona,springtime (a)
promontoire (un),orona,promontory (a)
quartier,faribohitra,"quarter,ward"
rapides (des),"ranomare,riana","rapids,waterfall (a)"
rapide (un),"ranomare,riana","rapids,waterfall (a)"
ravin (un),fampana,"abyss (an),precipice (a)"
région (une),faritany,"boundary (a),landmark (a),region (a),territory (a)"
réservoir,kamory,"pond,reservoir"
rivière (une),"ony,renirano",river (a)
rizières (les),heniheny,swamp (a)
rizière (une),horaka,ricefield (a)
rocher,harana,rock
saison sèche (la),main-tany,dry season (the)
sol,nofon-tany,topsoil
sol (un),tany,"country (a),earth (an),land (a),nation (a),soil (a)"
sommet (un),tendrombohitra,"mountain (a),summit (a)"
sous-sol,nofon-tany,topsoil
steppe,fatrana,space in the forest (open)
temps orageux (saison du),fahavaratra,summer (a)
terrain (un),tany,"country (a),earth (an),land (a),nation (a),soil (a)"
terreau (un),tany,"country (a),earth (an),land (a),nation (a),soil (a)"
terre fertile,baibo,"field,land (fertile)"
terre (une),tany,"country (a),earth (an),land (a),nation (a),soil (a)"
territoire (un),faritany,"boundary (a),landmark (a),region (a),territory (a)"
toponymie (une),haianarantany,toponymy (a)
tremblement,horohoron-tany,earthquake
tropique,"adijady,asorotany,zana-pehintany","parallel,tropic"
trou (un),lavaka,"cave (a),den (a),hole (a),pit (a)"
vallée (une),saha,"country (a),field (a),garden (a),orchard (an),valley (a)"
vallée,bangoa,"defile,valley"
vent,"anim-balala,animbato","breeze,wind"
village (un),tanàna,"city (a),town (a)"
village,vohitra,"hill,village"
ville (une),tanàna,"city (a),town (a)"
ville,vohitra,"hill,village"
volcan,"afotroa,volokano",volcano
zone tempérée (une),"fehivorintany faritra ivo,fehivorintany ivo",temperate zone (a)
"géographie:monts, vaux","haitoetany:temdrombohitra, saha","geography:mountains, vales"
géographie:monuments,haitoetany:monuments,geography:monuments
château-fort,rova,"fort,palisade"
fortin,rova,"fort,palisade"
palais,rova,"fort,palisade"
palissade,rova,"fort,palisade"
"géographie:pays, peuples","haitoetany:firenena, foko","geography:countries, people"
africain,"afrikana,afrikanina",african
africaine,"afrikana,afrikanina",african
afrique,afrika,africa
algérie,alzeria,algeria
algérien,alzerianina,algerian
allemagne,alemaina,germany
allemand,"alemaina,alemanina",german
américain,amerikanina,american
américaine,amerikanina,american
amérique,amerika,america
anglais,"angley,anglisy","englishman,englishwoman,english"
anglaise,"angley,anglisy","englishman,englishwoman,english"
angleterre,"angletera,englanda",england
arabe,arabo,"arab,moslem"
argentin,arzantinina,"argentinean,argentine,argentinian"
argentine,arzantina,argentina
argentine,arzantinina,"argentinean,argentine,argentinian"
asie,azia,asia
australie,aostralia,australia
australien,aostralianina,australian
australienne,aostralianina,australian
bantou,bantoa,bantu
belge,belza,belgian
belgique,belzika,belgium
bolivie,bolivia,bolivia
bolivien,bolivianina,bolivian
bolivienne,bolivianina,bolivian
brésil,brezila,brazil
brésilien,brezilianina,brazilian
brésilienne,brezilianina,brazilian
canada,kanadà,canada
canadien,kanadianina,canadian
canadienne,kanadianina,canadian
chili,silia,chile
chilien,silianina,chilean
chilienne,silianina,chilean
chine,sina,china
colombie,kolombia,colombia
colombien,kolombianina,colombian
colombienne,kolombianina,colombian
comorien,kaomorianina,comorian
comorienne,kaomorianina,comorian
corée,korea,korea
coréen,koreanina,korean
coréenne,koreanina,korean
cuba,kiobà,cuba
egypte,ejipta,egypt
égyptien,ejipsianina,egyptian
égyptienne,ejipsianina,egyptian
équateur,ekoatera,ecuador
équatorien,ekoatorianina,"ecuadoran,ecuadorian"
équatorienne,ekoatorianina,"ecuadoran,ecuadorian"
espagne,espaina,spain
espagnole,espaniola,spanish
espagnol,espaniola,spanish
états-unis,etazonia,united states
européen,eoropeanina,european
européenne,eoropeanina,european
europe,eorôpa,europe
finlandaise,finlandey,finnish
finlandais,finlandey,finnish
finlande,finlandy,finland
france,frantsa,france
grèce,gresy,greece
grec,grika,greek
grèque,grika,greek
guatémala,goatemalà,guatemala
guatémaltèque,goatemaltèka,guatemalan
haïtien,haitianina,haitian
haïtienne,haitianina,haitian
haïti,haiti,haiti
hollandaise,holandey,"dutchman,dutchwoman,dutch"
hollandais,holandey,"dutchman,dutchwoman,dutch"
hollande,holandy,"holland,netherland"
inde,inda,india
indonésie,indônezia,indonesia
israélien,israelianina,israeli
italie,italia,italy
italien,italianina,italian
italienne,italianina,italian
jamaïcaine,jamaikanina,jamaican
jamaïcain,jamaikanina,jamaican
jamaïquaine,jamaikanina,jamaican
jamaïquain,jamaikanina,jamaican
jamaïque,jamaika,jamaica
japonaise,japoney,japanese
japonais,japoney,japanese
japon,japana,japan
madagascar,"madagascar,madagasikara",madagascar
malagascar,malagasikara,"malagascar,malagaskar"
marocaine,maraokanina,morrocan
marocain,maraokanina,morrocan
maroc,maraoka,morocco
mexicaine,meksikanina,mexican
mexicain,meksikanina,mexican
mexique,meksika,mexico
musulman,arabo,"arab,moslem"
nicaragua,nikaragoà,nicaragua
norvège,norvezy,norway
norvégienne,norvezianina,norwegian
norvégien,norvezianina,norwegian
palestine,palestina,palestine
paraguay,paragoay,paraguay
pays-bas,holandy,"holland,netherland"
pérou,peroa,peru
péruvienne,perovianina,peruvian
péruvien,perovianina,peruvian
pologne,polonina,poland
polonaise,poloney,"pole,polish"
polonais,poloney,"pole,polish"
portoricaine,portorikanina,puerto rican
portoricain,portorikanina,puerto rican
porto rico,portorikò,puerto rico
portugal,portogaly,portugal
russe,"rosiana,rosianina",russian
russie,rosia,russia
sénégalais,soanagaly,senegalese
sicile,sisily,sicily
sicilienne,sisilianina,sicilian
sicilien,sisilianina,sicilian
somalienne,somalianina,somalian
somalien,somalianina,somalian
somalie,sômalia,somalia
