Francais,Malagasy,Anglais
sisal,taretra,"sisal fiber,sisal"
son,"akofa,ampombo","bran,chaff"
sorgho,"ampemba,femba",sorghum
souchet (un),zozoro,sedge (a)
tabac (un),tambako,tobacco
botanique:légume,haizavamaniry:anana,botany:vegetable
ambrette,bana,eggplant
amidon,tavolo,"arrowroot,starch"
arum,saonjo,"arum,taro"
aubergine,"bana,baranjele,baranjely","aubergine (the),brinja (the),egg-apple (the),egg-plant (the),eggplant"
chou pommé (un),laisoa,cabbage (a)
chou (un),laisoa,cabbage (a)
courge,"babaka,kasingy",pumpkin
cresson,"anadrano,anandrano",watercress
empesage,tavolo,"arrowroot,starch"
fécule,tavolo,"arrowroot,starch"
gouet,saonjo,"arum,taro"
herbe potagère (une),anatsongo,vegetable (kind of)
manioc,"balahazo,kazaha,mangahazo","cassava,manioc"
melon,taboara,gourd
morelle,anamamy,vegetable
navet,"anambe,nave",turnip
patate douce,"bageda,batata,bele",sweet potato
patate douce (variété de),belena,sweet potato
patate,bokala,sweet potato
patate (une),"ovy,vomanga","potato (a),sweet potato (a)"
pomme de chou (une),laisoa,cabbage (a)
pomme de terre (une),ovy,potato (a)
radis,radisa,radish
taro,"saonjo,sonzo","arum,taro"
botanique:palmier,haizavamaniry:hazo palma,botany:palm
arbre à voyageur,ravinala,traveler's tree
arbre du voyageur,bemavo,traveler's tree
arbre du voyageur (l'),ravimpotsy,traveller' tree (the)
latanier (un),satrana,palm (a)
palmier (un),satrana,palm (a)
panneau en tiges de palmier,falafa,"palm,panel"
raphia (le palmier),rofia,raffia palm (the)
raphia,"femby,raofia",rafia
ravenala,ravinala,traveler's tree
botanique:plantes médicinales,haizavamaniry:zavamaniry fanao fanafody,botany:medicinal plants
aloès,vahona,aloes
ananas (un),mananasy,pineapple (a)
bambou,bararata,bamboo
cajou (pomme,abiba,cashew apple
cocotier (un),voanio,"coconut (a),coconut tree (a)"
coco (un),voanio,"coconut (a),coconut tree (a)"
épines du christ,songosongo,crown of thorns
eucalyptus,kininina,eucalyptus
figuier (espèce de),adabo,fig-tree (species of)
gingembre,sakamalao,ginger
indigotier (espèce d'),aikaberavina,indigo plant (spacies of)
infusion,ravimboafotsy,"infusion,tea"
infusion (une),voafotsy,"infusion (an),tea"
mimosa,akasia,acacia
noix de cajou,abiba,cashew apple
noix de),abiba,cashew apple
